part_id,hh_id,part_age,part_gender,part_occupation
1917048,BE101917048,3,F,5
1918747,BE101918747,30,F,1
1920918,BE101920918,43,F,1
1926226,BE101926226,1,M,6
1934483,BE101934483,7,F,5
1934666,BE101934666,46,F,1
1942939,BE101942939,5,M,5
1944122,BE101944122,27,M,1
1956565,BE101956565,5,M,5
1956865,BE101956865,85,M,3
1963183,BE101963183,64,F,2
1963806,BE101963806,84,M,2
1968886,BE101968886,47,M,1
1969308,BE101969308,2,M,6
1969565,BE101969565,1,M,6
1971182,BE101971182,7,F,5
1984762,BE101984762,11,M,5
1995289,BE101995289,20,F,5
1998644,BE101998644,41,F,3
2000279,BE102000279,13,F,5
2013264,BE102013264,39,F,3
2015361,BE102015361,37,M,1
2017841,BE102017841,43,M,1
2023250,BE102023250,74,M,2
2023267,BE102023267,31,M,1
2024100,BE102024100,51,M,1
2025318,BE102025318,38,F,1
2029873,BE102029873,54,F,1
2034097,BE102034097,40,F,1
2034768,BE102034768,40,F,4
2035239,BE102035239,6,M,5
2038087,BE102038087,58,M,6
2053694,BE102053694,2,M,6
2079701,BE102079701,3,M,5
2083865,BE102083865,0,M,3
2090081,BE102090081,16,M,5
2090355,BE102090355,54,F,3
2097163,BE102097163,25,M,4
2098284,BE102098284,0,F,6
2109257,BE102109257,28,F,6
2112961,BE102112961,30,M,1
2122475,BE102122475,27,M,1
2126389,BE102126389,5,M,5
2130421,BE102130421,10,M,5
2141029,BE102141029,83,M,2
2145953,BE102145953,64,M,2
2146450,BE102146450,34,M,1
2148092,BE102148092,62,M,2
2148224,BE102148224,67,M,2
2156217,BE102156217,81,M,2
2157328,BE102157328,36,F,1
2158527,BE102158527,43,M,1
2159002,BE102159002,43,F,1
2159165,BE102159165,26,F,1
2161229,BE102161229,27,M,6
2161921,BE102161921,7,F,5
2166193,BE102166193,39,F,6
2167690,BE102167690,38,F,1
2173304,BE102173304,1,F,6
2173609,BE102173609,35,M,1
2194071,BE102194071,6,F,5
2194402,BE102194402,0,M,6
2194970,BE102194970,1,F,6
2198621,BE102198621,3,M,5
2204434,BE102204434,8,F,5
2207682,BE102207682,24,M,1
2212889,BE102212889,72,F,3
2213163,BE102213163,23,M,1
2215213,BE102215213,66,F,1
