cont_id,part_id,cnt_age_exact,cnt_age_est_min,cnt_age_est_max,cnt_gender,cnt_home,cnt_work,cnt_school,cnt_transport,cnt_leisure,cnt_otherplace,frequency_multi,phys_contact,duration_multi,cnt_otherplace_family,cnt_otherplace_grandparents,cnt_hh_member
2790204,27902,,20,30,F,false,false,false,false,true,false,3,,3,false,false,N
2790205,27902,31,,,F,false,false,false,false,false,true,4,2,2,false,false,N
2790206,27902,45,,,F,true,false,false,false,false,false,3,1,3,false,false,N
2790207,27902,,20,30,M,true,false,false,false,false,false,2,2,2,false,false,N
2790208,27902,42,,,M,false,false,false,false,true,false,5,2,3,false,false,N
2790209,27902,,20,30,M,false,false,false,false,true,false,4,2,3,false,false,N
2790210,27902,9,,,F,true,false,false,false,false,false,3,1,3,false,false,Y
2790211,27902,7,,,F,true,false,false,false,false,false,3,1,3,false,false,Y
2790212,27902,30,,,F,true,false,false,false,false,false,3,1,3,false,false,Y
2790213,27902,20,,,F,false,true,false,false,false,false,1,1,5,false,false,N
2790214,27902,40,,,F,false,true,false,false,false,false,5,1,2,false,false,N
2790215,27902,,,,F,false,true,false,false,false,false,3,1,3,false,false,N
2790216,27902,,,,M,false,true,false,false,false,false,4,1,5,false,false,N
2790217,27902,52,,,M,false,true,false,false,false,false,2,2,5,false,false,N
2790218,27902,,,,M,false,true,false,false,false,false,4,1,2,false,false,N
2790219,27902,,,,M,false,true,false,false,false,false,2,1,4,false,false,N
2790220,27902,,,,M,false,true,false,false,false,false,3,1,1,false,false,N
2790221,27902,,,,M,false,true,false,false,false,false,3,2,2,false,false,N
2790222,27902,50,,,M,false,true,false,false,false,false,2,2,5,false,false,N
2790223,27902,,,,M,false,true,false,false,false,false,1,2,2,false,false,N
2790224,27902,,,,F,false,true,false,false,false,false,4,2,1,false,false,N
2790225,27902,,,,M,false,true,false,false,false,false,5,2,2,false,false,N
2790226,27902,,,,F,false,true,false,false,false,false,1,1,4,false,false,N
2790227,27902,,,,F,false,true,false,false,false,false,4,2,2,false,false,N
2790228,27902,,,,F,false,true,false,false,false,false,1,2,2,false,false,N
2790229,27902,69,,,M,false,true,false,false,false,false,2,2,5,false,false,N
2790230,27902,53,,,F,false,true,false,false,false,false,2,2,4,false,false,N
2790231,27902,56,,,M,false,true,false,false,false,false,1,2,3,false,false,N
2790232,27902,18,,,M,false,true,false,false,false,false,2,2,1,false,false,N
2790233,27902,72,,,F,false,true,false,false,false,false,1,1,3,false,false,N
2790234,27902,16,,,M,false,true,false,false,false,false,1,1,3,false,false,N
2790235,27902,26,,,F,false,true,false,false,false,false,1,2,5,false,false,N
2790236,27902,,,,M,false,true,false,false,false,false,4,1,3,false,false,N
2790237,27902,58,,,M,false,true,false,false,false,false,4,2,2,false,false,N
2790501,27905,16,,,F,true,false,false,true,true,false,1,1,5,false,false,Y
2790502,27905,50,,,M,true,false,false,true,false,false,1,1,4,false,false,Y
2790503,27905,14,,,F,false,false,true,false,false,false,1,1,4,false,false,N
2790504,27905,13,,,F,false,false,true,false,false,false,1,1,4,false,false,N
2790505,27905,14,,,F,false,false,true,false,false,false,1,1,4,false,false,N
2790506,27905,14,,,F,false,false,true,true,false,false,1,1,4,false,false,Y
2790507,27905,,30,35,F,false,false,true,false,false,false,2,2,3,false,false,N
2790508,27905,13,,,F,false,false,true,false,false,false,1,1,4,false,false,N
2790509,27905,13,,,M,false,false,true,false,false,false,1,1,4,false,false,N
2790510,27905,,30,35,M,false,false,true,false,false,false,2,2,3,false,false,N
2790511,27905,14,,,F,false,false,true,false,false,false,1,1,4,false,false,N
