part_id,part_age,part_gender,part_occupation
3901707,39,M,1
3909844,55,M,1
3911242,60,F,4
3926144,33,F,1
3928850,51,M,1
3929209,15,M,5
3952926,55,F,3
3961256,32,F,1
3975623,51,F,1
3975791,71,F,3
3978209,6,F,5
3985396,30,M,1
3997672,58,M,6
4000867,26,M,1
4021567,9,M,5
4051902,56,M,1
4053017,47,F,1
4058627,76,F,2
4058645,66,M,2
4064443,76,M,2
4067149,49,F,NA
4074247,22,F,5
4085324,46,F,1
4089770,34,F,1
4090509,62,F,1
4092845,69,M,2
4093333,58,F,3
4093829,59,M,1
4141393,61,F,3
4161960,20,F,5
4162133,68,F,2
4172777,51,F,1
4173139,49,F,1
4175452,25,F,1
4178308,27,M,1
4194523,43,M,1
4194910,44,F,1
4196925,48,M,1
4220567,38,F,1
4222522,44,F,1
4234719,12,F,5
4243116,45,F,1
4244577,56,F,6
4246556,28,F,1
4262670,39,F,1
4285360,24,M,1
4285381,41,F,1
4302707,1,F,6
4305587,52,F,1
4313220,50,M,1
4334570,67,F,3
4334918,45,M,6
4346251,44,F,3
4357358,58,M,1
4357510,76,M,2
4379030,42,F,1
4391072,60,F,1
4403237,38,M,1
4409560,46,M,1
4438950,47,F,1
4444873,7,M,5
4445256,2,M,NA
4461402,9,F,5
4462935,4,F,5
4483848,41,M,1
4484589,9,M,5
4486321,40,F,1
4499418,31,M,1
4499439,72,F,3
4502847,78,M,2
4505271,54,F,2
4509087,54,F,1
4521734,11,F,5
4532312,35,F,1
4540195,2,M,6
4551510,5,F,5
4554507,52,F,1
4569762,31,F,1
4586567,4,F,5
4595062,86,F,3
4606621,24,F,5
4616715,33,F,4
4617094,43,M,1
4617311,50,F,2
4618059,47,F,1
4638353,48,M,1
4639161,2,M,6
4639429,15,M,5
4669508,52,M,1
4676144,49,F,4
4705007,48,F,1
4711311,4,M,5
4716380,37,M,1
4720660,42,M,1
4728249,53,F,3
4729195,13,M,5
4743670,6,M,5
4750266,44,F,1
4753169,4,M,5
4782379,21,F,1
4793480,5,M,5
4806027,27,M,1
4816847,52,F,1
4817465,52,M,1
4833090,32,M,1
4836233,19,F,5
4838694,42,F,1
4840251,3,M,5
4843541,39,F,1
4845825,18,F,5
4846378,42,M,1
4857793,10,M,5
4864945,24,M,1
4871943,66,M,2
4879585,45,F,1
4894218,31,F,1
4907408,30,M,1
4911026,27,M,1
4913890,42,M,1
4915783,72,F,3
4931520,24,F,1
4936507,52,F,1
4951329,64,M,2
4952554,35,M,1
4953118,39,F,3
4967080,35,F,1
4975486,9,M,5
4990864,50,M,1
4991183,57,M,1
4994836,3,M,5
5006446,25,F,1
5049412,49,F,1
5070434,28,F,1
5074156,33,M,1
5091442,39,F,1
5096497,54,F,6
5098134,65,F,2
5098293,55,F,1
5102184,49,F,1
5108446,13,F,5
5110937,32,M,1
5111669,21,M,5
5114307,24,M,1
5119020,62,M,2
5152618,38,M,1
5154543,74,M,2
5154753,2,M,5
5155936,31,F,1
5157498,3,M,5
5181851,52,F,1
5182677,25,F,1
5182799,70,M,2
5189270,29,F,6
5207333,46,M,1
5226792,1,M,6
5244741,47,M,1
5253047,50,M,1
5270801,56,F,6
5271000,39,F,1
5271452,20,F,5
5271890,37,F,1
5273501,40,F,1
5308051,91,F,3
5309905,38,F,1
5340241,29,F,1
5348125,43,M,1
5349202,34,F,1
5349454,48,F,6
5358022,28,M,1
5358714,72,M,2
5366992,1,M,3
5367053,58,M,1
5367330,78,M,2
5403329,42,M,1
5404257,48,M,1
5404441,48,F,1
5407093,45,M,1
5424886,6,F,5
5446695,67,M,2
5462716,55,F,1
5468401,50,F,3
5473142,8,F,5
5480252,89,F,3
5481403,3,M,5
5494820,7,F,5
5495337,44,F,3
5515170,44,M,1
5535741,42,M,1
5558259,35,M,1
5558533,34,F,1
5587872,79,M,1
5597416,50,M,1
5607742,16,F,5
5618131,12,F,5
5620378,53,F,1
5636551,1,F,6
5664923,13,F,5
5665091,13,F,5
5673990,39,F,1
5679660,63,F,3
5684000,44,M,1
5691053,5,F,5
5695043,28,F,1
5705895,32,M,1
5723971,48,M,1
5726606,58,M,1
5746002,5,M,5
5747334,16,M,5
5748805,0,F,3
5748877,0,F,6
5752470,40,F,1
5753668,26,F,1
5785327,10,F,5
5785341,62,M,2
5786292,64,M,2
5786399,62,F,3
5789826,27,M,1
5821391,1,F,6
5852650,52,M,1
5857750,48,M,1
5860652,29,F,1
5861875,72,M,2
5870563,27,F,1
5895916,25,F,1
5897132,39,F,4
5901440,35,F,1
5903671,48,M,1
5915679,54,F,6
5929359,21,M,5
5932735,7,F,5
5935155,48,F,1
5955402,58,F,3
5963352,27,M,1
5971683,47,F,1
5974557,45,F,1
6048491,43,M,1
6069630,6,M,5
6077570,34,F,1
6079019,50,M,1
6092089,28,M,1
6115053,35,M,1
